Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
HSPA4;HS24/p52	Heat shock 70 kDa protein 4	B4DH02;P34932;Q59GF8;B4DUS3;B4DIZ3;B4DT47;B4E354;O14992;F5H3R0;B4E0H6;Q7KYN0;B4DSE8;B0AZU6;B0AZS1;Q9BUK9;B0AZT0;B4DN48	-0.154	10	7.846	7.685	0
PYGL	"Phosphorylase;Glycogen phosphorylase, liver form"	B2R825;P06737;B4DUB7;F5H816;E9PK47;E9PMM6;Q59GM9;P11216;B2RB32;P11217;B4DRW6;F5GZH7;B4DSD8;Q6P1L4;B4DRQ4;H0Y4Z6;Q5JWL9;Q8TDG6	0.178	8	7.936	7.684	0
WDR43	WD repeat-containing protein 43	Q15061;C9IZK7;C9JEE7	0.751	8	8.018	7.675	0
ANXA6	Annexin A6;Annexin	P08133;A6NN80;B7Z8A7;E9PGK1;A8K3Q7;B7Z582;E5RK69;E7EMC6;Q6ZP35;E5RFF0;E5RK63;E5RJF5;E5RI05;E5RJR0;E5RIU8;H0YC77	0.692	12	7.861	7.67	0
FEN1	Flap endonuclease 1	P39748;Q6FHX6;B4DWZ4;F5H1Y3;I3L3E9	0.013	6	8.27	7.67	0
FAM98A	Protein FAM98A	Q8NCA5;E9PH82;B3KTW4;B4DY25;B4DT23;Q05CT2	0.666	4	8.149	7.665	0
RBM4;RBM4B	RNA-binding protein 4;RNA-binding protein 4B	A8K9U0;Q9BWF3;Q9BQ04;E9PB51;E7EQS3;B4E1U0;D6R9K7;E9PM61;E9PLB0	0.252	7	8.12	7.665	0
TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	Q14258;Q59GW5;D3DTY9	0.482	9	8.061	7.664	0
DHX30	Putative ATP-dependent RNA helicase DHX30	Q7L2E3;H7BXY3;Q6W6M7	0.065	9	7.75	7.664	0
AIMP1	Aminoacyl tRNA synthase complex-interacting multif	Q12904;B4DNK3;D6R937	0.258	6	8.168	7.662	0
PCNA	Proliferating cell nuclear antigen	P12004;Q6FHF5;Q6FI35;B4DUA2;Q7Z6A1;Q7Z6A2;Q7Z6A3	-0.47	4	8.063	7.656	0
RAP1A;RAP1B	Ras-related protein Rap-1b;Ras-related protein Rap	A8KAH9;P61224;P62834;Q5U0C3;F5H7Y6;B4DQI8;E7ESV4;Q9BXV4;F5H147;F5GX62;B4DW94;F5GYB5;F5H004;F5H6R7;F5H500;F5H0B7;F5H491;F5GWU8;F5H077;F5GYH7;F5H4H0;A6NIZ1;B4DW74;B7ZAY2;F8WBC0	-0.233	2	8.071	7.644	0
CYCS	Cytochrome c	G4XXL9;P99999;C9JFR7;CON__P62894;Q6LER6	-0.703	4	7.986	7.631	0
GTPBP1	GTP-binding protein 1	O00178;B2RDW9;B0QY59;F5H716;F5H257	0.271	4	7.807	7.63	0
CFL1	Cofilin-1	E9PK25;P23528;E9PP50;G3V1A4;E9PQB7;B4E112;E9PLJ3;Q549N0;Q9Y281;G3V5P4;E9PS23	-0.154	3	8.201	7.63	0
LASP1	LIM and SH3 domain protein 1	Q14847;A8K1D2;C9J9W2;B4DJI4;B4DIC4;B4DGQ0;Q59FZ8;B7ZB56;Q9NPR7	0.128	13	8.377	7.624	0
FLNA	Filamin-A	P21333;Q60FE5;Q60FE6;Q5HY54;A6NDY9;Q8TES4;Q6NXF2;Q96C61;F8WE98;E9PHF0;B4E2F9;B4DTD5;Q14315;Q86TQ3;Q2VP91;H0Y5C6;H0Y5F3	-0.007	48	8.42	7.613	0
HNRNPF	Heterogeneous nuclear ribonucleoprotein F;Heteroge	P52597;B4DKS8	0.035	6	8.091	7.61	0
NOL11	Nucleolar protein 11	Q9H8H0;B7Z5V9	0.664	9	7.952	7.609	0
HTATSF1	HIV Tat-specific factor 1	O43719;B4DRS4;E9PFP2;Q5H918;Q5H919	0.529	15	8.209	7.608	0
ATP6V1B2	"V-type proton ATPase subunit B, brain isoform"	P21281;Q59HF3;H0YC04;P15313;C9JL73;B4DWH7;Q71UA2;B4DFM5;B4DQI9;C9JNS9;C9J5E3;E5RGH6;H0YAT8	-0.736	8	8.06	7.608	0
FXR2	Fragile X mental retardation syndrome-related prot	P51116;I3L1Z2	0.167	4	7.632	7.605	0
HSPA14	Heat shock 70 kDa protein 14	Q0VDF9;B4DYI5;H7C2A1;B0YIZ1;Q6P155	0.397	7	7.656	7.603	0
UTP18	U3 small nucleolar RNA-associated protein 18 homol	Q9Y5J1;B2RAX6	0.188	5	7.948	7.598	0
MRTO4	mRNA turnover protein 4 homolog	Q9UKD2;B4DHZ2	0.483	6	8.041	7.595	0
BCLAF1	Bcl-2-associated transcription factor 1	Q9NYF8;E9PK91;E9PKI6;E9PQN2;E9PK09;Q6DCA8;E9PJA7;H0YF00	0.392	7	7.787	7.589	0
WDR11;DKFZp434L1715	WD repeat-containing protein 11	B2RCJ6;Q9BZH6;Q9NVU3;Q659C9;Q9NWV7;B4DX09	-0.044	42	8.863	7.582	0
PRPF40A	Pre-mRNA-processing factor 40 homolog A	O75400;F8W9L2;E9PHJ7;B4DPY2;F5H578;Q05C41;H0YG38;Q4ZG51	0.369	13	7.982	7.576	0
RPS24	40S ribosomal protein S24	E7EPK6;P62847;E7ETK0;Q5T0P8	0.406	6	8.331	7.575	0
ACTR1A;ACTR1B	Alpha-centractin;Beta-centractin	P61163;B4DM97;B4DXP9;B4DMT4;F5H3I4;P42025;Q13841;G5E9Q5	0.105	3	8.015	7.574	0
HDAC1	Histone deacetylase;Histone deacetylase 1	B5BU61;Q13547;Q6IT96;Q5TEE2;B4DRG0;F5GXM1;B4DSK9;B7Z3S4;Q92769;B3KRS5;B3KUJ5	-0.353	2	7.705	7.569	0
CROCC	Rootletin	Q5TZA2;B1AKD8;A1L0S8;A1L0S9	0.273	1	7.64	7.567	2.00E-05
SNW1	SNW domain-containing protein 1	B4DEG7;G3V3A4;Q13573;Q6I9S2;B4DY36;B7Z9X2;G3V4X8;Q6P151;Q9ULA6;E9PGQ7;Q0D2M5;G3V5R3	0.367	5	7.847	7.565	0
CEBPZ	CCAAT/enhancer-binding protein zeta	Q03701;B2R5U7;F5H3Y6	0.473	6	7.66	7.564	0
SLC1A5	Neutral amino acid transporter B(0)	Q59ES3;Q15758;Q71UA6;B4DR77;B7ZB81;E9PC01;B4DE27;B4DWS4	-0.594	7	7.94	7.56	0
SET	Protein SET	Q01105;Q5VXV3;B2RCX0;Q5VXV2;A6NGV1;B2REB8	-0.162	3	7.998	7.558	0
TCOF1		E7ETY2;B4DRA2;Q9UFD4;H0YA99	0.213	4	7.857	7.557	0
FAU	40S ribosomal protein S30	E9PR30;P62861	0.254	2	7.912	7.555	0
ARPC1A	Actin-related protein 2/3 complex subunit 1A	Q92747;Q53GB6;Q59GQ0;B4DLQ7;E9PF58;Q75MY0	0.073	5	8.004	7.554	0
DDX41	Probable ATP-dependent RNA helicase DDX41	Q9UJV9;Q53HI2;B3KRK2;D6RGI7;H0YA06;H0Y8L8	-0.228	7	7.821	7.534	0
CANX	Calnexin	B4DGP8;P27824;B4E2T8;E7ETH2;Q6ZP56;D6RGY2;F5H856;Q16094;H0Y9H1;H0Y9Q7;D6RFL1;D6RDP7;D6RB85;D6RAU8;D6RAQ8	-0.217	13	8.508	7.526	0
MCM6	DNA replication licensing factor MCM6	Q14566;Q4ZG57;B4DRF6	-0.023	7	7.629	7.522	0
IK;CSA2;DKFZp564B112	Protein Red	B2R5Y4;Q13123;Q95HA6;Q9UK43;E7EQZ7;Q9H4P6;B4DEH2;D6REL4;Q9Y3Z5;D6RAY9;D6RCQ4	-0.028	6	7.74	7.521	0
TXN;TXN delta 3	Thioredoxin	H9ZYJ2;P10599;B1ALW1;O60744	-0.194	4	8.035	7.521	0
DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	F8W8S0;Q13409;B4DPZ3;B7ZA04;Q59GU5;E7EQL5;E7EV09;E7EMU4;E7ESD3;E7EQU2;E7ETL8;E7ET01;B4DX93;Q9H5W7;E7ERH4;E7ERR6;E7EUM4;E7EU01;E9PGG1;Q53SA6	-0.262	3	7.685	7.519	0
YWHAZ	14-3-3 protein zeta/delta	E7EX29;D0PNI1;P63104;E7EX24;B0AZS6;E7ESK7;B7Z465;H0YB80;B7Z2E6;E7EVZ2;E9PD24;E5RIR4;Q6LD62;B2R6N6;E5RGE1;Q9H4N8;A2IDB2;Q3YBA8	-0.444	5	8.133	7.519	0
SCARB2	Lysosome membrane protein 2	Q14108;Q53Y63;B4DKD8;E7EM68;D6RDG0	-0.393	5	7.9	7.516	0
TRA2B;DKFZp686F18120	Transformer-2 protein homolog beta	B2RDQ3;P62995;Q59GA1;Q68DZ9;Q8N1H4;H7BXF3;H7C2L4	0.434	2	7.824	7.512	0
EEFSEC	Selenocysteine-specific elongation factor	P57772;Q96HZ6;C9J8T0	0.364	4	7.508	7.507	0
IPO7	Importin-7	O95373;B3KQG6;B3KNG9	0.094	3	7.732	7.507	0
LUC7L2	Putative RNA-binding protein Luc7-like 2	B3KSL5;Q9Y383;B7Z4Q3;B7Z500;B3KRR1;Q53G47;Q9NQ29;Q1W6G4;D3DU41;A8MYV2;B8ZZ10;C9JWT3;B8ZZ09;F8WEU3;F8WB41;Q75M91	0.315	8	7.941	7.501	0
PGAM1;PGAM2;hCG_2015269	Phosphoglycerate mutase 1;Phosphoglycerate mutase;	P18669;Q0D2Q6;Q53G35;Q6FHK8;Q6FHU2;Q6P6D7;B4DKL5;P15259;E7EMA8;B4DMJ7;A4D2J6;B4DJA4;B7Z9E5;Q8N0Y7;B7ZW15	-0.297	5	8.254	7.497	0
XP32	Skin-specific protein 32	Q5T750	-2.48	1	7.551	7.497	0
MCM7	DNA replication licensing factor MCM7	B2RBA6;C6EMX8;P33993;F5H776;B4DDF5;B3KUD7;F5H4S2;A4D2A2;Q9H4N9;C9J8M6	0.144	7	7.906	7.495	0
EIF2AK2	"Interferon-induced, double-stranded RNA-activated "	P19525;B7ZKK7;Q8IW76;E9PC80;Q7Z6F6;Q05CP4;Q6PK38;C9JZT2;F8WBH4	0.399	7	8.047	7.494	0
FAM98B	Protein FAM98B	A8MUW5;Q52LJ0	0.342	2	7.653	7.494	0
PHF5A	PHD finger-like domain-containing protein 5A	Q7RTV0	0.339	3	7.965	7.487	0
SORD	Sorbitol dehydrogenase	Q00796;H0YLA4;B4DKI2;H0YKB3;B7Z3A6	-0.055	5	7.888	7.486	0
RBM42	RNA-binding protein 42	Q9BTD8;B4DWT0	0.381	4	7.6	7.478	0
PRKRA	Interferon-inducible double stranded RNA-dependent	O75569;G5E9Q4;C9JMM3;F8WEG8;B4DJC7	0.362	3	7.71	7.476	0
RBM26	RNA-binding protein 26	Q5T8P6;B4DZH7;E2PSN0;Q9P2N5;B3KY61;D3DQF6	0.39	5	7.546	7.475	0
GANAB	Neutral alpha-glucosidase AB	B4DJ30;Q14697;B4DZ53;E9PKU7;B4DSM6;F5H6X6;B4DIW2;E9PNH1;H0YFL4;E9PRF8	-0.57	10	8.117	7.471	0
SRSF9	Serine/arginine-rich splicing factor 9	Q13242;A8K3M9;H0YIB4;B4DFT9	0.408	5	8.046	7.47	0
PRMT3	Protein arginine N-methyltransferase 3	Q8WUV3;O60678;F5GXU2;B4DP44;B4DWB1	0.349	3	7.541	7.47	0
DKFZp686L20222;CDK1;CDK3;CDK2	Cyclin-dependent kinase 1;Cyclin-dependent kinase 	Q5H9N4;P06493;E5RIU6;Q00526;B4DDL9;E7ESI2;B7Z3D6;Q14004;Q9NYV4;B7Z8T0;B7Z7C8;Q00537;B4DK03;Q00536;Q07002;B4DGP5;F5H6Z0;O94921;F5H203;Q9BRL4;Q59G02;Q96Q40;F8W6H8;Q96GA5;E5RGN0;B4DER5;B4DHU6;B2R9L6;B5BU53;P50750;B4DK59;E7EUK8;A4D1G0;Q00534;Q9BVE2;B2R9A0;P11	0.178	3	7.924	7.47	0
FRG1;FRG1B;LOC283788	Protein FRG1;Protein FRG1B	Q14331;Q9BZ01;Q96ND1;Q05D61;E9PRR7;E9PLY7;F5H5R5;H0YEZ2;Q96MD3	-0.122	3	7.523	7.47	0
RNF20	E3 ubiquitin-protein ligase BRE1A	Q5VTR2;Q05DC0;C9JXC9;C9J0A5;C9JWJ4;C9JMW8;C9K0V8;A0PJJ6	0.18	5	7.498	7.469	0
RBM3	Putative RNA-binding protein 3	P98179	0.549	2	7.952	7.465	0
RAC1;RAC3;RAC2	Ras-related C3 botulinum toxin substrate 1;Ras-rel	A4D2P0;A4D2P1;P63000;A4D2P2;P60763;P15153;B1AH80;B1AH78;B1AH77;Q59FQ0	-0.581	6	8.492	7.463	0
MYL6;MYL6B	Myosin light polypeptide 6;Myosin light chain 6B	B7Z6Z4;G3V1V0;G8JLA2;P60660;F8W1R7;F8VZV5;F8VPF3;B4E368;P14649;F8W1I5;Q6IBG5;G3V1Y7;F8W180;F8VZU9;H0YI43	-0.13	4	7.87	7.46	0
GLUD1;GLUD2	"Glutamate dehydrogenase 1, mitochondrial;Glutamate"	E9KL48;P00367;P49448;Q53GW3;B4DMF5;B4DMG8;B4E0N9;F5GYQ4;B3KT18;F8WA20;B4DGN5;B3KV55;Q59FQ4;Q9BSD0;Q14400;H0YFJ0;Q9UQV0	-1.08	4	7.628	7.46	0
GEMIN4	Gem-associated protein 4	P57678;I3L2C7;Q9HBB9;Q9HC39;Q8WUM5;I3L399;I3L4A4	0.669	5	7.565	7.459	0
PPAT	Amidophosphoribosyltransferase	A8K4H7;Q06203;Q53H22;Q59G63;D6RCC8;D6RE15	0.094	5	7.605	7.453	0
TEX10	Testis-expressed sequence 10 protein	Q9NXF1;B4DQR0;E7ERG2;B7Z9D5;B4E149	0.33	8	7.906	7.451	0
GALNT7	N-acetylgalactosaminyltransferase 7	Q86SF2;H0YAH3;E9PBY3;Q4W5F7;Q68VJ4;B4DIB4;H0YAK0	-0.924	14	8.217	7.451	0
NUDT21	Cleavage and polyadenylation specificity factor su	B2R6U8;O43809;H3BND3;H3BV41;Q5HYH5	0.655	4	8.081	7.45	0
PSME1	Proteasome activator complex subunit 1	H0YNE3;A6NJG9;Q06323;Q6FHU3;Q6IBM2;Q86SZ9;H0YLU2;H0YKK6	-0.003	3	7.763	7.444	0
M6PR	Cation-dependent mannose-6-phosphate receptor	P20645;Q53GY9;Q6I9U3;B2R6S2;Q96AH2;H0YF90;H0YGT2;F5H883;F5GXU0;H0YGE9;F5GXE0	-0.944	10	8.576	7.438	0
TRA2A;HSU53209	Transformer-2 protein homolog alpha	Q13595;Q549U1;B4DUA9;B4DQI6	0.503	3	7.729	7.436	0
PHF6	PHD finger protein 6	E9PC97;Q8IWS0;B4E0G4;Q5JRC6;A8K230;B4E138	0.186	2	7.692	7.432	4.00E-05
RTN4;Nbla00271;NOGOC	Reticulon-4	Q9NQC3;Q7L7Q6;F8W914;Q6IPN0;Q8IUA4;F8WAM4;Q3LIF4;D6W5C2;H7C106;A6XGP7;Q7L7Q5;Q53SY1;Q53R94	-0.933	9	8.501	7.43	0
DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	Q14204;H0YJ21;Q9NRC3;B4DSR6;Q92862;Q6P2H7	-0.031	124	8.724	7.413	0
PRDX4	Peroxiredoxin-4	Q13162;H7C3T4;A6NG45;A6NJJ0	-0.136	5	8.207	7.413	0
HIST1H2BJ;HIST1H2BO;HIST1H2BB;HIST2H2BE;HIST3H2BB	Histone H2B type 1-J;Histone H2B type 1-O;Histone 	P06899;P23527;P33778;Q16778;Q8N257;Q6DN03;Q6DRA6	0.129	1	7.651	7.411	0
ADRM1;DKFZp686G2045	Proteasomal ubiquitin receptor ADRM1	Q16186;E9PEC0;Q68E00;B4DMP7	0.177	2	7.566	7.41	0
CDC40	Pre-mRNA-processing factor 17	O60508;Q53H60;Q5SRN1;Q59H56;H0UI46;Q2TA76;B4DHE3;H0Y7P6;Q5SRM8;Q5SRM9	0.692	3	7.515	7.409	0
NIP7	60S ribosome subunit biogenesis protein NIP7 homol	Q9Y221;B3KM49	0.635	4	7.849	7.403	0
RFC4	Replication factor C subunit 4	P35249;C9JZI1;B4DM41;C9J8M3;C9JTT7;C9JXZ7;H7C1P0;F8WE44;C9JGY5	0.036	5	7.859	7.402	0
FBLL1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like p	A6NHQ2	0.474	1	7.85	7.401	0
SAMHD1	SAM domain and HD domain-containing protein 1	Q9Y3Z3;Q59H15;A6NDZ3	0.026	4	7.548	7.399	0
IQGAP1	Ras GTPase-activating-like protein IQGAP1	A4QPB0;P46940;H0YLE8;B4E2M0;Q6P1N4;B4DNP4;A2RRC9;Q86VI3;F2Z2E2;Q05DN7;Q5FWG8;H0YKA5	0.476	9	7.571	7.395	0
SEC23A	Protein transport protein Sec23A	Q15436;F5H365;G3V2R6;G3V3G5;G3V1W4;G3V4V1;G3V4Q2;G3V5X8	-0.721	24	8.805	7.39	0
RPS6KA1;RPS6KA3	Ribosomal protein S6 kinase alpha-1;Ribosomal prot	Q15418;E9PGT3;E9PRI4;B7Z2K7;P51812;B7ZB17;B4DG22;B4DKZ2;F5GYC4;B1AXG1;B7ZL90;Q9UK32;F2Z2J1;Q15349;B7Z3B5;E9PAN7;B1AXG2;D6R910;E9PMM7;D6RHW7	0.379	4	7.699	7.386	0
UPF3B	Regulator of nonsense transcripts 3B	Q9BZI7;B3KSJ3;Q0VAK7	0.184	4	7.678	7.384	0
RBM25	RNA-binding protein 25	P49756;E9PQU5;Q16083	0.397	6	7.81	7.378	0
ARFGAP1;ARF1GAP	ADP-ribosylation factor GTPase-activating protein 	Q8N6T3;Q53F62;B7Z3U0;E7EV62;F8VWH9;B7Z8H8;F8W1U7;B7ZBI2;E5RHT6;E5RHH7;E5RHC5;F8VWB3	0.679	3	7.502	7.377	0
TXNL1	Thioredoxin-like protein 1	B2R960;O43396;Q59G46;B3KT45;G3V1K0	0.482	4	7.819	7.367	0
ARPC1B	Actin-related protein 2/3 complex subunit 1B	A4D275;O15143;F8WCG3;C9J6C8;C9JFG9;C9JQM8;C9JEY1;C9J4Z7;C9K057;C9JBJ7;C9JTT6	0.123	3	7.658	7.364	0
PPP1CC	Serine/threonine-protein phosphatase PP1-gamma cat	P36873;F8VYE8;Q9UPN1;F8W0W8;F8VR82;B4DJ75;B7ZB67;B4E163;E7ETD8;F8W0V8;B4DNE3;H0Y3Y6;C4TNW6	0.092	2	7.719	7.364	0
TOMM34	Mitochondrial import receptor subunit TOM34	Q15785;B4DXU3;Q6ZPD0	0.533	4	7.673	7.362	0
PFKL	"6-phosphofructokinase, liver type"	P17858;F5H3H2;Q7L2M7;Q9BSP4;B3KNQ7;Q59GI2;Q6MZK4;Q7Z3R9;H0YIX6	0.405	4	7.519	7.357	0
EXOSC8;DKFZp564C0482	Exosome complex component RRP43	Q96B26;Q5JXM0	0.466	2	7.621	7.352	0
EIF6	Eukaryotic translation initiation factor 6	P56537;B7ZBG9;B7ZBH1;F8WDS6;B4DJH0;F8WD20	0.971	4	7.92	7.349	0
THOC1	THO complex subunit 1	Q96FV9	0.413	6	7.572	7.348	0
RPS28	40S ribosomal protein S28	B2R4R9;P62857	0.448	3	7.924	7.341	0
DNAJB1	DnaJ homolog subfamily B member 1	P25685;Q6FHS4;Q6FI51;B4DX52;Q59E89;Q9UDY4;B4DNN2;B4DKK9	0.153	3	7.872	7.341	0
NCKAP1	Nck-associated protein 1	Q9Y2A7;B3KMK7;B3KM75	0.343	5	7.567	7.34	0
HELLS	Lymphoid-specific helicase	Q9NRZ9;Q6I7N8;Q9NW36;B1ALG6	0.708	2	7.482	7.338	0
FTSJ3	Putative rRNA methyltransferase 3	Q8IY81;B4DKU3	0.542	5	7.492	7.338	0
ACTC1;ACTA1;ACTA2;ACTG2	"Actin, alpha cardiac muscle 1;Actin, alpha skeleta"	A8K3K1;P68032;P68133;B7Z6P1;D2JYH4;P62736;P63267;A6NL76;Q5T8M8;B3KW67;E7EQV5;Q7Z7J6;Q13707;B4DUI8;B7Z6I1;F6QUT6;F6UVQ4;Q5T9N7;C9JFL5;B8ZZJ2;F8WB63	-0.246	3	8.186	7.334	0
LSM14A	Protein LSM14 homolog A	Q8ND56;B4DTG6;I3L420;I3L3F8	0.462	3	7.486	7.333	0
RPSAP58;RPSA;LAMR1P15	40S ribosomal protein SA	A6NE09;P08865;C9J9K3;Q96RS2;C9JQR9	0.38	5	8.034	7.333	0
U2SURP	U2 snRNP-associated SURP motif-containing protein	O15042;E7ET15;C9JB80;H0Y8D9;H7C4V2	0.224	8	7.532	7.332	0
MKI67IP	MKI67 FHA domain-interacting nucleolar phosphoprot	Q9BYG3;C9J808;C9J6C5;H7BZL0;B4DSM4;E9PFS2	0.358	6	7.772	7.329	0
GSR	"Glutathione reductase, mitochondrial"	P00390;H0YBD4;E5RI06;H0YC68	0.396	3	7.568	7.328	0
ACIN1;DKFZp667N107	Apoptotic chromatin condensation inducer in the nu	Q9UKV3;E7EQT4;B4DQZ7;Q69YJ6;G3V3B0;G3V3T3	0.264	4	7.456	7.315	0
RTN1	Reticulon-1	Q16799;Q2NKQ5;A8K3B9;Q6IAX4;A8MT72;B7Z4K5	-0.693	1	8.198	7.313	0.00011
METAP1;DKFZp781C0419	Methionine aminopeptidase 1;Methionine aminopeptid	P53582;F5GXS7;Q5CZ91;H0Y955	-0.288	2	7.558	7.303	0
SRSF5	Serine/arginine-rich splicing factor 5	Q59EK7;Q13243;B4DUA4;B4DJK0;G3V5K8;Q86U32;B5BUD8	-0.31	2	7.743	7.3	0
CACYBP	Calcyclin-binding protein	Q5R371;Q6NVY0;Q9HB71;B3KSF1;Q5R370;B4DFD3	0.067	2	7.88	7.298	0
RPF2;BXDC1	Ribosome production factor 2 homolog	A8K800;Q9H7B2;B4DWS5;Q5VXN0;Q5VXM9	0.275	3	7.951	7.297	0
SF1	Splicing factor 1	Q15637;B4DJU4;B7Z1Q1;C9JJE2;B4DSE4;B4DX42	0.441	2	7.425	7.295	0
SYNGR2	Synaptogyrin-2	Q3KQZ2;O43760	0.086	19	9.757	7.293	0
RPS15	40S ribosomal protein S15	P62841	0.119	4	7.978	7.292	0
LMAN1	Protein ERGIC-53	B2R774;P49257;Q53FS4	-0.576	4	8.452	7.292	0
PAK1IP1	p21-activated protein kinase-interacting protein 1	Q9NWT1	0.308	2	7.6	7.289	1.00E-05
BCAP31	B-cell receptor-associated protein 31	P51572;Q53G72;Q53HT6;C9J0M4;C9JQ75;C9JSP1;C9JMD7	-0.59	3	7.981	7.289	0
TSPAN6	Tetraspanin-6	Q59ED5;B3KQJ7;O43657;B4DUZ1;E7EUC3;B4DRB0	-0.298	2	7.695	7.282	0
EIF2B4;DKFZp586J0119	Translation initiation factor eIF-2B subunit delta	E7ERK9;Q9UI10;F5H6W1;Q71US4;Q9Y3W7;B4DUP5;F8W8L6;Q9HBP7;Q59FC8	0.14	3	7.435	7.278	0
RPL36AL	60S ribosomal protein L36a-like	B2R4V2;Q969Q0	0.314	1	7.361	7.275	0
SERPINH1	Serpin H1	P50454;A8K259;B4DN87;E9PPV6;E9PR70;E9PKH2;E9PMI5;E9PK86;E9PNX1;E9PRS3;E9PIG2;E9PJH8;E9PQ34;Q9NPA9;E9PLA6;H0YEP8	-0.43	5	7.978	7.274	0
DNAJC8	DnaJ homolog subfamily C member 8	O75937	0.185	2	7.798	7.272	0
SRRT	Serrate RNA effector molecule homolog	Q9BXP5;H7C3A1;Q7Z4Y3;E7EPT2;H7C159;H7C1K0	0.162	6	7.482	7.272	0
RPL26L1	60S ribosomal protein L26-like 1	Q9UNX3;E5RIT6;E5RHH1	0.343	3	7.83	7.266	0
DAZAP1;DAZAP1/MEF2D fusion	DAZ-associated protein 1	Q96EP5;Q5IRN2;Q5IRN4	0.353	2	7.436	7.262	0
SYNE2;TROPH	Nesprin-2	Q8WXH0;D4YW74;F8WAA3;G3V5X4	-5.872	4	7.66	7.262	0.00329
UBA1	Ubiquitin-like modifier-activating enzyme 1	P22314;B4DL67;B4DDE4;Q5JRS0;Q5JRR9;B3KUJ2;Q5JRR6;Q5JRS2;Q5JRS3;Q5JRS1;Q8WY81	-0.16	8	7.864	7.257	0
ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 fami	P39687;Q08AJ6;F2Z3H3;Q6PKH8;H0YN26;Q3KPI8;Q1AHP8;O43423;Q5T6W8;O95626;H7BZ09	-0.238	5	7.854	7.251	0
CAPZB	F-actin-capping protein subunit beta	B4DWA6;E7EQ40;B1AK88;B2R7T8;B1AK87;Q7L4N0;P47756;B1AK85;B1AK86;B1AP83;F6USW4;B1AK84;B1AP81;F6Q0E3	0.046	3	7.822	7.249	0
RRBP1	Ribosome-binding protein 1	A7BI36;Q9P2E9;A1A5C4;A1A5C5;F8W7S5;B3KSG1	0.358	5	7.426	7.243	0
NACA;hCG_2016482	Nascent polypeptide-associated complex subunit alp	E9PAV3;F8VU71;B2R4P8;Q13765;H0YHX9;F8W0W4;F8VZJ2;B4DDI8;F8VNW4;F8W1N5;Q9BZK3;F8VZ58	0.231	3	7.713	7.234	0
CPSF1	Cleavage and polyadenylation specificity factor su	Q10570;D3DWL9;Q9C0J6	0.351	5	7.268	7.233	0
PRDX6	Peroxiredoxin-6	P30041;A4UCS6	-0.236	3	7.718	7.227	0
GBA	Glucosylceramidase	B7Z6S9;B2R6A7;D3DV87;I3L0Q9;P04062;B7Z6E6;B7Z7G9;F5GYD8;B7Z6S1;B7Z5G2;B7Z731;F5H241;B4DHT6;B3KQW3;B4DMV8	-0.447	3	7.531	7.227	0
COBRA1	Negative elongation factor B	Q8WX92	0.406	2	7.312	7.225	0
MCM2	DNA replication licensing factor MCM2	B7Z8Z6;F5H1E9;P49736;H0Y8E6;B3KXZ4;F5H3V0;B4DSV5;Q9BWF4	0.235	2	7.353	7.224	0
VAT1	Synaptic vesicle membrane protein VAT-1 homolog	Q99536;B4DPX4;B3KUF8;B0AZP7;E9PF80	0.514	9	8.119	7.221	0
RRM1	Ribonucleoside-diphosphate reductase large subunit	P23921;Q53GZ5;B4DNN4;B4E0I8;E9PD78;H0YFI0;B4DS95;B4DXB0;E9PL69;B4DXD1;F5H861;H0YCY7;E9PP77	0.551	6	7.865	7.218	0
DDX46	Probable ATP-dependent RNA helicase DDX46	A8K6X3;Q7L014;D3DQA6;D6RJA6;F5GYY8;Q0VGL8;H0Y9U3	0.141	7	7.516	7.218	0
PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha	Q9BTU6;B4DEP8;E9PAM4	-0.478	9	8.055	7.214	0
CPSF3	Cleavage and polyadenylation specificity factor su	Q53F02;Q9UKF6;G5E9W3;Q05BZ5;E7ER23;B4DQR2;F5GXZ2;A4UCU1;C9JZH6	0.292	4	7.269	7.213	0
SLC3A2	4F2 cell-surface antigen heavy chain	P08195;F5GZS6;B4E2Z3;H0YFS2;F5GZI0;F5H0E2;B4E3E4;F5H867	-0.809	11	8.148	7.209	0
CHERP	Calcium homeostasis endoplasmic reticulum protein	Q8IWX8;B4DPM4;B4DL82;Q59ET1	0.439	7	7.751	7.206	0
RBM15	Putative RNA-binding protein 15	Q96T37;Q3ZB86;Q86VW9;A1A693;Q8NDT2;A4QPG7;Q59EY1;Q13722;F5GZJ8;Q0VA89	0.66	6	7.434	7.205	0
FAM50A	Protein FAM50A	Q14320;B0S8I6;Q9Y247;Q6PJH5	0.29	3	7.704	7.201	0
